-0.091,-0.111,1.093
0.028,-0.227,1.081
0.022,-0.082,1.591
-0.112,-0.113,1.762
-0.029,-0.128,1.309
0.037,-0.136,0.735
0.082,-0.038,0.491
0.07,-0.043,0.5
0.04,-0.038,0.503
0.059,0.01,0.456
0.028,0.064,0.479
0.016,0.113,0.513
-0.017,0.1,0.523
-0.048,0.185,0.567
-0.294,-0.01,1.134
-0.311,0.06,1.603
-0.426,0.087,1.941
-0.25,0.539,1.408
-0.28,0.034,1.192
-0.177,0,0.798
-0.112,-0.051,0.851
-0.081,-0.101,0.84
-0.128,-0.077,0.975
-0.164,-0.104,1.03
-0.183,-0.066,1.052
-0.187,0.001,1.042
-0.184,-0.077,1.014
-0.255,-0.035,1.085
-0.104,-0.033,1.068
-0.086,0.02,0.975
-0.063,0.023,1.012
0.184,0.035,0.841
0.165,0.185,0.837
0.213,0.204,0.729
0.103,0.164,0.771
-0.004,-0.122,0.954
-0.122,-0.117,0.95
-0.187,-0.248,1.04
-0.262,-0.335,1.061
-0.209,-0.272,1
-0.053,-0.112,0.83
0.123,0.005,0.737
0.139,0.106,0.892
0.11,0.056,1.095
0.051,-0.01,1.155
-0.021,-0.089,1.118
-0.035,-0.071,1.06
-0.05,-0.13,1.013
-0.109,-0.208,0.951
-0.091,-0.2,0.911
-0.01,-0.164,0.958
0.022,-0.138,0.986
0.055,-0.081,0.974
0.106,-0.021,0.893
0.107,0.02,0.874
0.086,0.081,1.018
0.056,0.056,0.978
0.061,0.066,0.994
0.046,0.064,0.991
0.001,0.01,1.049
-0.033,0.01,1.08
0.572,0.037,0.335
-0.002,0.18,0.937
0.017,-0.018,1.173
-0.258,-0.608,1.157
-0.152,-0.256,0.855
0.104,-0.056,0.666
-0.046,0.318,1.094
0.05,0.159,1.195
0.04,0.259,1.007
-0.034,0.245,0.843
0.012,-0.097,0.657
-0.265,-0.167,0.881
-0.094,0.189,0.786
0.077,0.139,0.817
-0.139,-0.116,0.925
-0.009,0.078,0.885
0.096,0.254,0.795
-0.003,0.228,0.875
0.373,-0.646,0.982
-0.37,0.287,1.486
0.044,-0.199,0.679
0.212,0.171,0.856
-0.613,0.607,0.461
0.058,-0.106,1.165
0.121,0.083,0.992
-0.081,0.201,1.586
-0.172,0.561,0.914
0.111,0.223,0.442
-0.208,-0.339,1.363
-0.087,0.023,1.099
-0.095,-0.028,1.035
-0.154,0.117,0.969
-0.133,-0.152,0.974
